Kategori_Laporan,Kategori_Pos,Pos_Pos,Rincian_Pos_Pos,Tanggal,Nilai
Laba/Rugi,PENDAPATAN DAN BEBAN OPERASIONAL,Pendapatan Bunga,Valuta Asing,2015-02-01,0
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-08-01,200640
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-04-01,71971
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-07-01,159972
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-06-01,125673
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-03-01,43307
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-05-01,96142
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-11-01,323483
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-10-01,284114
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-09-01,247989
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2013-12-01,364622
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-08-01,255174
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-04-01,129214
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-12-01,430888
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-07-01,234754
Laba/Rugi,PENDAPATAN (BEBAN) NON OPERASIONAL,Pajak Penghasilan,Taksiran pajak tahun berjalan,2014-06-01,197311
