Dates,variable,value
1998-04-23,IDX: Turnover: Value,492.6904
1998-04-24,IDX: Turnover: Value,411.2605
1998-04-27,IDX: Turnover: Value,524.5373
1998-04-29,IDX: Turnover: Value,596.6334
1998-04-30,IDX: Turnover: Value,462.2264
1998-05-01,IDX: Turnover: Value,359.6058
1998-05-04,IDX: Turnover: Value,256.2375
1998-05-05,IDX: Turnover: Value,334.1201
1998-05-06,IDX: Turnover: Value,389.8792
1998-05-07,IDX: Turnover: Value,526.6744
1998-05-08,IDX: Turnover: Value,382.6204
1998-05-12,IDX: Turnover: Value,276.4133
1998-05-13,IDX: Turnover: Value,523.0263
1998-05-14,IDX: Turnover: Value,306.849
1998-05-15,IDX: Turnover: Value,4.969465
1998-05-18,IDX: Turnover: Value,124.1992
1998-05-19,IDX: Turnover: Value,86.54846
1998-05-20,IDX: Turnover: Value,10.12606
1998-05-22,IDX: Turnover: Value,208.3788
1998-05-25,IDX: Turnover: Value,313.1232
1998-05-26,IDX: Turnover: Value,209.4615
1998-05-27,IDX: Turnover: Value,234.0596
1998-05-28,IDX: Turnover: Value,208.7384
1998-05-29,IDX: Turnover: Value,355.8166
1998-06-01,IDX: Turnover: Value,146.4739
1998-06-02,IDX: Turnover: Value,175.8347
1998-06-03,IDX: Turnover: Value,301.1188
1998-06-04,IDX: Turnover: Value,481.3956
1998-06-05,IDX: Turnover: Value,561.671
1998-06-08,IDX: Turnover: Value,195.5621
1998-06-09,IDX: Turnover: Value,175.9702
1998-06-10,IDX: Turnover: Value,235.8352
1998-06-11,IDX: Turnover: Value,259.4883
1998-06-12,IDX: Turnover: Value,328.475
1998-06-15,IDX: Turnover: Value,269.996
1998-06-16,IDX: Turnover: Value,252.6613
1998-06-17,IDX: Turnover: Value,370.2861
1998-06-18,IDX: Turnover: Value,401.6897
1998-06-19,IDX: Turnover: Value,341.2695
1998-06-22,IDX: Turnover: Value,147.1114
1998-06-23,IDX: Turnover: Value,151.8888
1998-06-24,IDX: Turnover: Value,192.3146
1998-06-25,IDX: Turnover: Value,163.9787
1998-06-26,IDX: Turnover: Value,163.2283
1998-06-29,IDX: Turnover: Value,130.9225
1998-06-30,IDX: Turnover: Value,243.4917
1998-07-01,IDX: Turnover: Value,431.2492
1998-07-02,IDX: Turnover: Value,400.4601
1998-07-03,IDX: Turnover: Value,353.7221
1998-07-07,IDX: Turnover: Value,522.8497
1998-07-08,IDX: Turnover: Value,306.1051
1998-07-09,IDX: Turnover: Value,324.2322
1998-07-10,IDX: Turnover: Value,222.2888
1998-07-13,IDX: Turnover: Value,202.6774
1998-07-14,IDX: Turnover: Value,415.9151
1998-07-15,IDX: Turnover: Value,553.3698
1998-07-16,IDX: Turnover: Value,641.5322
1998-07-17,IDX: Turnover: Value,556.0557
1998-07-20,IDX: Turnover: Value,423.6664
1998-07-21,IDX: Turnover: Value,470.6427
1998-07-22,IDX: Turnover: Value,550.1986
1998-07-23,IDX: Turnover: Value,326.1392
1998-07-24,IDX: Turnover: Value,376.685
1998-07-27,IDX: Turnover: Value,272.6053
1998-07-28,IDX: Turnover: Value,365.1423
1998-07-29,IDX: Turnover: Value,370.3064
1998-07-30,IDX: Turnover: Value,433.1766
1998-07-31,IDX: Turnover: Value,256.2311
1998-08-03,IDX: Turnover: Value,155.4957
1998-08-04,IDX: Turnover: Value,212.6112
1998-08-05,IDX: Turnover: Value,214.3475
1998-08-06,IDX: Turnover: Value,200.3499
1998-08-07,IDX: Turnover: Value,275.1884
1998-08-10,IDX: Turnover: Value,154.2682
1998-08-11,IDX: Turnover: Value,240.057
1998-08-12,IDX: Turnover: Value,392.3085
1998-08-13,IDX: Turnover: Value,284.2336
1998-08-14,IDX: Turnover: Value,1135.448
1998-08-18,IDX: Turnover: Value,222.1186
1998-08-19,IDX: Turnover: Value,273.1099
1998-08-20,IDX: Turnover: Value,287.943
1998-08-21,IDX: Turnover: Value,293.388
1998-08-24,IDX: Turnover: Value,208.9456
1998-08-25,IDX: Turnover: Value,310.8855
1998-08-26,IDX: Turnover: Value,249.1664
1998-08-27,IDX: Turnover: Value,223.7981
1998-08-28,IDX: Turnover: Value,224.6398
1998-08-31,IDX: Turnover: Value,192.1186
1998-09-01,IDX: Turnover: Value,197.4202
1998-09-02,IDX: Turnover: Value,254.8801
1998-09-03,IDX: Turnover: Value,290.0974
1998-09-04,IDX: Turnover: Value,310.3255
1998-09-07,IDX: Turnover: Value,261.6679
1998-09-08,IDX: Turnover: Value,280.6082
1998-09-09,IDX: Turnover: Value,249.6185
1998-09-10,IDX: Turnover: Value,242.2184
1998-09-11,IDX: Turnover: Value,209.4095
1998-09-14,IDX: Turnover: Value,230.485
1998-09-15,IDX: Turnover: Value,388.5711
1998-09-16,IDX: Turnover: Value,383.6734
1998-09-17,IDX: Turnover: Value,184.0806
1998-09-18,IDX: Turnover: Value,178.0593
1998-09-21,IDX: Turnover: Value,123.051
1998-09-22,IDX: Turnover: Value,121.6936
1998-09-23,IDX: Turnover: Value,199.0263
1998-09-24,IDX: Turnover: Value,313.0184
1998-09-25,IDX: Turnover: Value,198.7387
1998-09-28,IDX: Turnover: Value,153.0089
1998-09-29,IDX: Turnover: Value,173.8134
1998-09-30,IDX: Turnover: Value,142.6966
1998-10-01,IDX: Turnover: Value,130.5707
1998-10-02,IDX: Turnover: Value,147.2475
1998-10-05,IDX: Turnover: Value,110.6458
1998-10-06,IDX: Turnover: Value,145.7148
1998-10-07,IDX: Turnover: Value,146.4668
1998-10-08,IDX: Turnover: Value,408.2286
1998-10-09,IDX: Turnover: Value,489.0816
1998-10-12,IDX: Turnover: Value,259.6634
1998-10-13,IDX: Turnover: Value,235.721
1998-10-14,IDX: Turnover: Value,206.0312
1998-10-15,IDX: Turnover: Value,134.1071
1998-10-16,IDX: Turnover: Value,475.3054
1998-10-19,IDX: Turnover: Value,452.1
1998-10-20,IDX: Turnover: Value,281.0498
1998-10-21,IDX: Turnover: Value,314.9362
1998-10-22,IDX: Turnover: Value,172.6897
1998-10-23,IDX: Turnover: Value,233.2782
1998-10-26,IDX: Turnover: Value,171.3515
1998-10-27,IDX: Turnover: Value,133.1002
1998-10-28,IDX: Turnover: Value,225.6197
1998-10-29,IDX: Turnover: Value,110.845
1998-10-30,IDX: Turnover: Value,960.2591
1998-11-02,IDX: Turnover: Value,184.455
1998-11-03,IDX: Turnover: Value,309.5905
1998-11-04,IDX: Turnover: Value,441.7521
1998-11-05,IDX: Turnover: Value,842.303
1998-11-06,IDX: Turnover: Value,474.436
