Dates,variable,value
1999-05-28,Aneka Industri,104.457
1999-05-31,Aneka Industri,104.774
1999-06-01,Aneka Industri,104.814
1999-06-02,Aneka Industri,102.845
1999-06-03,Aneka Industri,104.695
1999-06-04,Aneka Industri,108.443
1999-06-08,Aneka Industri,122.893
1999-06-09,Aneka Industri,121.97
1999-06-10,Aneka Industri,119.143
1999-06-11,Aneka Industri,125.234
1999-06-14,Aneka Industri,129.78
1999-06-15,Aneka Industri,130.233
1999-06-16,Aneka Industri,130.449
1999-06-17,Aneka Industri,133.654
1999-06-18,Aneka Industri,135.512
1999-06-21,Aneka Industri,136.501
1999-06-22,Aneka Industri,136.308
1999-06-23,Aneka Industri,135.471
1999-06-24,Aneka Industri,131.931
1999-06-25,Aneka Industri,130.74
1999-06-28,Aneka Industri,129.627
1999-06-29,Aneka Industri,137.672
1999-06-30,Aneka Industri,130.896
1999-07-01,Aneka Industri,134.081
1999-07-02,Aneka Industri,132.604
1999-07-05,Aneka Industri,128.701
1999-07-06,Aneka Industri,136.286
1999-07-07,Aneka Industri,133.095
1999-07-08,Aneka Industri,131.462
1999-07-09,Aneka Industri,130.616
1999-07-12,Aneka Industri,131.165
1999-07-13,Aneka Industri,131.989
1999-07-14,Aneka Industri,133.684
1999-07-15,Aneka Industri,132.179
1999-07-16,Aneka Industri,129.173
1999-07-19,Aneka Industri,128.996
1999-07-20,Aneka Industri,129.366
1999-07-21,Aneka Industri,127.183
1999-07-22,Aneka Industri,127.465
1999-07-23,Aneka Industri,124.306
1999-07-26,Aneka Industri,117.595
1999-07-27,Aneka Industri,114.087
1999-07-28,Aneka Industri,122.911
1999-07-29,Aneka Industri,122.988
1999-07-30,Aneka Industri,120.204
1999-08-02,Aneka Industri,118.902
1999-08-03,Aneka Industri,121.101
1999-08-04,Aneka Industri,119.645
1999-08-05,Aneka Industri,117.993
1999-08-06,Aneka Industri,117.663
1999-08-09,Aneka Industri,113.911
1999-08-10,Aneka Industri,111.604
1999-08-11,Aneka Industri,106.038
1999-08-12,Aneka Industri,113.715
1999-08-13,Aneka Industri,110.139
1999-08-16,Aneka Industri,111.486
