Dates,variable,value
2015-12-24,SPREAD USD,2.484
2015-12-25,SPREAD USD,2.48
2015-12-28,SPREAD USD,2.4986
2015-12-29,SPREAD USD,2.42
2015-12-30,SPREAD USD,2.4197
2015-12-31,SPREAD USD,2.4336
2016-01-01,SPREAD USD,2.4216
2016-01-04,SPREAD USD,2.4132
2016-01-05,SPREAD USD,2.3543
2016-01-06,SPREAD USD,2.4188
2016-01-07,SPREAD USD,2.5255
2016-01-08,SPREAD USD,2.4754
2016-01-11,SPREAD USD,2.4326
2016-01-12,SPREAD USD,2.7208
2016-01-13,SPREAD USD,2.6843
2016-01-14,SPREAD USD,2.7856
2016-01-15,SPREAD USD,2.8713
2016-01-18,SPREAD USD,2.8753
2016-01-19,SPREAD USD,2.7834
2016-01-20,SPREAD USD,2.9466
2016-01-21,SPREAD USD,2.8749
2016-01-22,SPREAD USD,2.7291
2016-01-25,SPREAD USD,2.7298
2016-01-26,SPREAD USD,2.7758
2016-01-27,SPREAD USD,2.6867
2016-01-28,SPREAD USD,2.6156
2016-01-29,SPREAD USD,2.5901
2016-02-01,SPREAD USD,2.5854
2016-02-02,SPREAD USD,2.7692
2016-02-03,SPREAD USD,2.7199
2016-02-04,SPREAD USD,2.7245
2016-02-05,SPREAD USD,2.6943
2016-02-08,SPREAD USD,2.7727
2016-02-09,SPREAD USD,2.841
2016-02-10,SPREAD USD,2.9069
2016-02-11,SPREAD USD,2.9189
2016-02-12,SPREAD USD,2.8429
2016-02-15,SPREAD USD,2.7659
2016-02-16,SPREAD USD,2.7257
2016-02-17,SPREAD USD,2.634
2016-02-18,SPREAD USD,2.6214
2016-02-19,SPREAD USD,2.6031
2016-02-22,SPREAD USD,2.5932
2016-02-23,SPREAD USD,2.6455
2016-02-24,SPREAD USD,2.6656
2016-02-25,SPREAD USD,2.6973
2016-02-26,SPREAD USD,2.5837
2016-02-29,SPREAD USD,2.6243
2016-03-01,SPREAD USD,2.5051
2016-03-02,SPREAD USD,2.4794
2016-03-03,SPREAD USD,2.4803
2016-03-04,SPREAD USD,2.3929
2016-03-07,SPREAD USD,2.3563
2016-03-08,SPREAD USD,2.5073
2016-03-09,SPREAD USD,2.451
2016-03-10,SPREAD USD,2.3527
2016-03-11,SPREAD USD,2.2931
2016-03-14,SPREAD USD,2.3028
2016-03-15,SPREAD USD,2.3231
2016-03-16,SPREAD USD,2.4029
2016-03-17,SPREAD USD,2.2632
2016-03-18,SPREAD USD,2.2558
2016-03-21,SPREAD USD,2.2305
2016-03-22,SPREAD USD,2.2787
2016-03-23,SPREAD USD,2.3554
2016-03-24,SPREAD USD,2.385
2016-03-25,SPREAD USD,2.395
2016-03-28,SPREAD USD,2.399
2016-03-29,SPREAD USD,2.4845
2016-03-30,SPREAD USD,2.3582
2016-03-31,SPREAD USD,2.3753
2016-04-01,SPREAD USD,2.3645
2016-04-04,SPREAD USD,2.3652
2016-04-05,SPREAD USD,2.4089
2016-04-06,SPREAD USD,2.3651
2016-04-07,SPREAD USD,2.4141
2016-04-08,SPREAD USD,2.3933
2016-04-11,SPREAD USD,2.3796
2016-04-12,SPREAD USD,2.3159
2016-04-13,SPREAD USD,2.2631
2016-04-14,SPREAD USD,2.1751
2016-04-15,SPREAD USD,2.1812
2016-04-18,SPREAD USD,2.1619
2016-04-19,SPREAD USD,2.0519
2016-04-20,SPREAD USD,2.032
2016-04-21,SPREAD USD,2.025
2016-04-22,SPREAD USD,2.0262
2016-04-25,SPREAD USD,2.0962
2016-04-26,SPREAD USD,2.1429
2016-04-27,SPREAD USD,2.1962
2016-04-28,SPREAD USD,2.1347
2016-04-29,SPREAD USD,2.1217
2016-05-02,SPREAD USD,2.0867
2016-05-03,SPREAD USD,2.1567
2016-05-04,SPREAD USD,2.2578
2016-05-05,SPREAD USD,2.2407
2016-05-06,SPREAD USD,2.2091
2016-05-09,SPREAD USD,2.2113
2016-05-10,SPREAD USD,2.1657
2016-05-11,SPREAD USD,2.1373
2016-05-12,SPREAD USD,2.1164
2016-05-13,SPREAD USD,2.1729
2016-05-16,SPREAD USD,2.1357
2016-05-17,SPREAD USD,2.1147
2016-05-18,SPREAD USD,2.0502
2016-05-19,SPREAD USD,2.3023
2016-05-20,SPREAD USD,2.1766
2016-05-23,SPREAD USD,2.151
2016-05-24,SPREAD USD,2.1551
2016-05-25,SPREAD USD,2.1416
2016-05-26,SPREAD USD,2.1828
2016-05-27,SPREAD USD,2.127
2016-05-30,SPREAD USD,2.122
2016-05-31,SPREAD USD,2.1642
2016-06-01,SPREAD USD,2.1856
2016-06-02,SPREAD USD,2.2511
2016-06-03,SPREAD USD,2.3236
2016-06-06,SPREAD USD,2.1503
2016-06-07,SPREAD USD,2.1363
2016-06-08,SPREAD USD,2.1658
2016-06-09,SPREAD USD,2.1773
2016-06-10,SPREAD USD,2.2466
2016-06-13,SPREAD USD,2.3614
2016-06-14,SPREAD USD,2.322
2016-06-15,SPREAD USD,2.328
2016-06-16,SPREAD USD,2.2932
2016-06-17,SPREAD USD,2.2692
2016-06-20,SPREAD USD,2.1784
2016-06-21,SPREAD USD,2.1541
2016-06-22,SPREAD USD,2.1878
2016-06-23,SPREAD USD,2.1012
2016-06-24,SPREAD USD,2.3261
2016-06-27,SPREAD USD,2.3893
2016-06-28,SPREAD USD,2.3076
2016-06-29,SPREAD USD,2.0615
2016-06-30,SPREAD USD,2.1763
2016-07-01,SPREAD USD,2.1529
2016-07-04,SPREAD USD,2.0569
2016-07-05,SPREAD USD,2.028
2016-07-06,SPREAD USD,2.1748
2016-07-07,SPREAD USD,2.119
2016-07-08,SPREAD USD,2.1421
2016-07-11,SPREAD USD,1.8857
2016-07-12,SPREAD USD,1.885
2016-07-13,SPREAD USD,1.9267
2016-07-14,SPREAD USD,1.8804
2016-07-15,SPREAD USD,1.9051
2016-07-18,SPREAD USD,1.9132
2016-07-19,SPREAD USD,1.8964
2016-07-20,SPREAD USD,1.8349
2016-07-21,SPREAD USD,1.86
2016-07-22,SPREAD USD,1.8327
2016-07-25,SPREAD USD,1.8279
2016-07-26,SPREAD USD,1.8399
2016-07-27,SPREAD USD,1.9454
2016-07-28,SPREAD USD,1.8416
2016-07-29,SPREAD USD,1.8739
2016-08-01,SPREAD USD,1.7316
2016-08-02,SPREAD USD,1.7632
2016-08-03,SPREAD USD,1.821
2016-08-04,SPREAD USD,1.8582
2016-08-05,SPREAD USD,1.7095
2016-08-08,SPREAD USD,1.693
2016-08-09,SPREAD USD,1.715
2016-08-10,SPREAD USD,1.6846
2016-08-11,SPREAD USD,1.6317
2016-08-12,SPREAD USD,1.6685
2016-08-15,SPREAD USD,1.5674
2016-08-16,SPREAD USD,1.5854
2016-08-17,SPREAD USD,1.6469
2016-08-18,SPREAD USD,1.6274
2016-08-19,SPREAD USD,1.5819
2016-08-22,SPREAD USD,1.6906
2016-08-23,SPREAD USD,1.7472
2016-08-24,SPREAD USD,1.7029
2016-08-25,SPREAD USD,1.7059
2016-08-26,SPREAD USD,1.6474
2016-08-29,SPREAD USD,1.7515
2016-08-30,SPREAD USD,1.7217
2016-08-31,SPREAD USD,1.737
2016-09-01,SPREAD USD,1.8439
2016-09-02,SPREAD USD,1.8296
2016-09-05,SPREAD USD,1.7906
2016-09-06,SPREAD USD,1.821
2016-09-07,SPREAD USD,1.7169
2016-09-08,SPREAD USD,1.606
2016-09-09,SPREAD USD,1.5821
2016-09-12,SPREAD USD,1.8651
2016-09-13,SPREAD USD,1.6739
2016-09-14,SPREAD USD,1.8064
2016-09-15,SPREAD USD,1.8133
2016-09-16,SPREAD USD,1.7824
2016-09-19,SPREAD USD,1.7122
2016-09-20,SPREAD USD,1.6828
2016-09-21,SPREAD USD,1.7129
2016-09-22,SPREAD USD,1.6137
2016-09-23,SPREAD USD,1.5996
2016-09-26,SPREAD USD,1.7091
2016-09-27,SPREAD USD,1.7136
2016-09-28,SPREAD USD,1.6681
2016-09-29,SPREAD USD,1.6731
2016-09-30,SPREAD USD,1.6606
2016-10-03,SPREAD USD,1.6339
2016-10-04,SPREAD USD,1.5636
2016-10-05,SPREAD USD,1.5929
2016-10-06,SPREAD USD,1.5798
2016-10-07,SPREAD USD,1.6529
2016-10-10,SPREAD USD,1.6569
2016-10-11,SPREAD USD,1.6782
2016-10-12,SPREAD USD,1.7198
2016-10-13,SPREAD USD,1.7399
2016-10-14,SPREAD USD,1.6953
2016-10-17,SPREAD USD,1.786
2016-10-18,SPREAD USD,1.8011
2016-10-19,SPREAD USD,1.7378
2016-10-20,SPREAD USD,1.6684
2016-10-21,SPREAD USD,1.6823
2016-10-24,SPREAD USD,1.6453
2016-10-25,SPREAD USD,1.666
2016-10-26,SPREAD USD,1.6389
2016-10-27,SPREAD USD,1.6444
2016-10-28,SPREAD USD,1.7352
2016-10-31,SPREAD USD,1.7655
2016-11-01,SPREAD USD,1.7786
2016-11-02,SPREAD USD,1.8305
2016-11-03,SPREAD USD,1.8315
2016-11-04,SPREAD USD,1.8398
2016-11-07,SPREAD USD,1.7569
2016-11-08,SPREAD USD,1.6643
2016-11-09,SPREAD USD,1.5609
2016-11-10,SPREAD USD,1.5649
2016-11-11,SPREAD USD,2.0429
2016-11-14,SPREAD USD,2.2786
2016-11-15,SPREAD USD,2.0441
2016-11-16,SPREAD USD,1.9405
2016-11-17,SPREAD USD,1.7694
2016-11-18,SPREAD USD,1.8792
2016-11-21,SPREAD USD,1.9256
2016-11-22,SPREAD USD,1.8451
2016-11-23,SPREAD USD,1.7592
2016-11-24,SPREAD USD,1.7592
2016-11-25,SPREAD USD,1.8118
2016-11-28,SPREAD USD,1.8236
2016-11-29,SPREAD USD,1.808
2016-11-30,SPREAD USD,1.6951
2016-12-01,SPREAD USD,1.8629
2016-12-02,SPREAD USD,1.9999
2016-12-05,SPREAD USD,1.9759
2016-12-06,SPREAD USD,1.9313
2016-12-07,SPREAD USD,1.9069
2016-12-08,SPREAD USD,1.7859
2016-12-09,SPREAD USD,1.8075
2016-12-12,SPREAD USD,1.9238
2016-12-13,SPREAD USD,1.8927
2016-12-14,SPREAD USD,1.7413
2016-12-15,SPREAD USD,1.9213
2016-12-16,SPREAD USD,1.9014
2016-12-19,SPREAD USD,1.9548
2016-12-20,SPREAD USD,1.9004
2016-12-21,SPREAD USD,1.9192
2016-12-22,SPREAD USD,1.8705
2016-12-23,SPREAD USD,1.8637
2016-12-26,SPREAD USD,1.8637
2016-12-27,SPREAD USD,1.8364
2016-12-28,SPREAD USD,1.868
2016-12-29,SPREAD USD,1.871
2016-12-30,SPREAD USD,1.8777
2017-01-02,SPREAD USD,1.8767
2017-01-03,SPREAD USD,1.6936
2017-01-04,SPREAD USD,1.648
2017-01-05,SPREAD USD,1.6407
2017-01-06,SPREAD USD,1.5377
2017-01-09,SPREAD USD,1.7183
2017-01-10,SPREAD USD,1.6923
2017-01-11,SPREAD USD,1.7079
2017-01-12,SPREAD USD,1.6619
2017-01-13,SPREAD USD,1.6266
2017-01-16,SPREAD USD,1.6436
2017-01-17,SPREAD USD,1.6777
2017-01-18,SPREAD USD,1.5864
2017-01-19,SPREAD USD,1.5991
2017-01-20,SPREAD USD,1.6302
2017-01-23,SPREAD USD,1.6529
2017-01-24,SPREAD USD,1.5708
2017-01-25,SPREAD USD,1.5584
2017-01-26,SPREAD USD,1.6597
2017-01-27,SPREAD USD,1.6697
2017-01-30,SPREAD USD,1.6579
2017-01-31,SPREAD USD,1.6819
2017-02-01,SPREAD USD,1.6321
2017-02-02,SPREAD USD,1.5893
2017-02-03,SPREAD USD,1.5892
2017-02-06,SPREAD USD,1.5443
2017-02-07,SPREAD USD,1.5339
2017-02-08,SPREAD USD,1.5657
2017-02-09,SPREAD USD,1.4992
2017-02-10,SPREAD USD,1.5037
2017-02-13,SPREAD USD,1.4782
2017-02-14,SPREAD USD,1.4112
2017-02-15,SPREAD USD,1.4578
2017-02-16,SPREAD USD,1.4993
2017-02-17,SPREAD USD,1.5023
2017-02-20,SPREAD USD,1.5023
2017-02-21,SPREAD USD,1.485
2017-02-22,SPREAD USD,1.4801
2017-02-23,SPREAD USD,1.511
2017-02-24,SPREAD USD,1.5523
2017-02-27,SPREAD USD,1.47
2017-02-28,SPREAD USD,1.4511
2017-03-01,SPREAD USD,1.4194
2017-03-02,SPREAD USD,1.4141
2017-03-03,SPREAD USD,1.439
2017-03-06,SPREAD USD,1.4393
2017-03-07,SPREAD USD,1.4341
2017-03-08,SPREAD USD,1.4283
2017-03-09,SPREAD USD,1.4687
2017-03-10,SPREAD USD,1.5765
2017-03-13,SPREAD USD,1.4302
2017-03-14,SPREAD USD,1.5018
2017-03-15,SPREAD USD,1.591
2017-03-16,SPREAD USD,1.4528
2017-03-17,SPREAD USD,1.4425
2017-03-20,SPREAD USD,1.4273
2017-03-21,SPREAD USD,1.4715
2017-03-22,SPREAD USD,1.476
2017-03-23,SPREAD USD,1.4686
2017-03-24,SPREAD USD,1.4687
2017-03-27,SPREAD USD,1.4608
2017-03-28,SPREAD USD,1.4262
2017-03-29,SPREAD USD,1.4725
2017-03-30,SPREAD USD,1.4123
2017-03-31,SPREAD USD,1.4736
2017-04-03,SPREAD USD,1.5307
2017-04-04,SPREAD USD,1.4765
2017-04-05,SPREAD USD,1.5196
2017-04-06,SPREAD USD,1.5562
2017-04-07,SPREAD USD,1.5068
2017-04-10,SPREAD USD,1.5459
2017-04-11,SPREAD USD,1.6128
2017-04-12,SPREAD USD,1.6628
2017-04-13,SPREAD USD,1.6456
2017-04-14,SPREAD USD,1.6456
2017-04-17,SPREAD USD,1.6262
2017-04-18,SPREAD USD,1.7138
2017-04-19,SPREAD USD,1.5927
2017-04-20,SPREAD USD,1.559
2017-04-21,SPREAD USD,1.519
2017-04-24,SPREAD USD,1.509
2017-04-25,SPREAD USD,1.4558
2017-04-26,SPREAD USD,1.4955
2017-04-27,SPREAD USD,1.5014
2017-04-28,SPREAD USD,1.5018
2017-05-01,SPREAD USD,1.468
2017-05-02,SPREAD USD,1.5137
2017-05-03,SPREAD USD,1.454
2017-05-04,SPREAD USD,1.4269
2017-05-05,SPREAD USD,1.4883
2017-05-08,SPREAD USD,1.4482
2017-05-09,SPREAD USD,1.4543
2017-05-10,SPREAD USD,1.4489
2017-05-11,SPREAD USD,1.5266
2017-05-12,SPREAD USD,1.5273
2017-05-15,SPREAD USD,1.5047
2017-05-16,SPREAD USD,1.5183
2017-05-17,SPREAD USD,1.6017
2017-05-18,SPREAD USD,1.6066
2017-05-19,SPREAD USD,1.5274
2017-05-22,SPREAD USD,1.4783
2017-05-23,SPREAD USD,1.4511
2017-05-24,SPREAD USD,1.4988
2017-05-25,SPREAD USD,1.4686
2017-05-26,SPREAD USD,1.4755
2017-05-29,SPREAD USD,1.4755
2017-05-30,SPREAD USD,1.5132
2017-05-31,SPREAD USD,1.5122
2017-06-01,SPREAD USD,1.4896
2017-06-02,SPREAD USD,1.5179
2017-06-05,SPREAD USD,1.4423
2017-06-06,SPREAD USD,1.4649
2017-06-07,SPREAD USD,1.4371
2017-06-08,SPREAD USD,1.4355
2017-06-09,SPREAD USD,1.4235
2017-06-12,SPREAD USD,1.4075
2017-06-13,SPREAD USD,1.4131
2017-06-14,SPREAD USD,1.4944
2017-06-15,SPREAD USD,1.4283
2017-06-16,SPREAD USD,1.4546
2017-06-19,SPREAD USD,1.4191
2017-06-20,SPREAD USD,1.4555
2017-06-21,SPREAD USD,1.4606
2017-06-22,SPREAD USD,1.5013
2017-06-23,SPREAD USD,1.4957
2017-06-26,SPREAD USD,1.49
2017-06-27,SPREAD USD,1.3889
2017-06-28,SPREAD USD,1.4311
2017-06-29,SPREAD USD,1.3914
2017-06-30,SPREAD USD,1.3993
2017-07-03,SPREAD USD,1.3641
2017-07-04,SPREAD USD,1.3641
2017-07-05,SPREAD USD,1.3978
2017-07-06,SPREAD USD,1.3751
2017-07-07,SPREAD USD,1.4404
2017-07-10,SPREAD USD,1.446
2017-07-11,SPREAD USD,1.4795
2017-07-12,SPREAD USD,1.4913
2017-07-13,SPREAD USD,1.4126
2017-07-14,SPREAD USD,1.4521
2017-07-17,SPREAD USD,1.4399
2017-07-18,SPREAD USD,1.482
2017-07-19,SPREAD USD,1.4464
2017-07-20,SPREAD USD,1.4521
2017-07-21,SPREAD USD,1.4645
2017-07-24,SPREAD USD,1.4388
2017-07-25,SPREAD USD,1.3816
2017-07-26,SPREAD USD,1.4258
2017-07-27,SPREAD USD,1.3557
2017-07-28,SPREAD USD,1.3841
2017-07-31,SPREAD USD,1.3548
2017-08-01,SPREAD USD,1.3598
2017-08-02,SPREAD USD,1.298
2017-08-03,SPREAD USD,1.3358
2017-08-04,SPREAD USD,1.302
2017-08-07,SPREAD USD,1.316
2017-08-08,SPREAD USD,1.3071
2017-08-09,SPREAD USD,1.3234
2017-08-10,SPREAD USD,1.3845
2017-08-11,SPREAD USD,1.4292
2017-08-14,SPREAD USD,1.3755
2017-08-15,SPREAD USD,1.3132
2017-08-16,SPREAD USD,1.369
2017-08-17,SPREAD USD,1.3767
2017-08-18,SPREAD USD,1.3631
2017-08-21,SPREAD USD,1.3753
2017-08-22,SPREAD USD,1.3439
2017-08-23,SPREAD USD,1.389
2017-08-24,SPREAD USD,1.3451
2017-08-25,SPREAD USD,1.3581
2017-08-28,SPREAD USD,1.3559
2017-08-29,SPREAD USD,1.3738
2017-08-30,SPREAD USD,1.3451
2017-08-31,SPREAD USD,1.352
2017-09-01,SPREAD USD,1.2903
2017-09-04,SPREAD USD,1.2903
2017-09-05,SPREAD USD,1.3724
2017-09-06,SPREAD USD,1.2714
2017-09-07,SPREAD USD,1.3123
2017-09-08,SPREAD USD,1.2563
2017-09-11,SPREAD USD,1.1794
2017-09-12,SPREAD USD,1.1628
2017-09-13,SPREAD USD,1.1367
